dia,vendas
2018-10-01,1374.83
2018-10-02,2185.69
2018-10-03,1860.36
2018-10-04,1939.02
2018-10-05,1946.17
2018-10-06,2005.89
2018-10-07,3793.07
2018-10-08,2039.59
2018-10-09,3365.58
2018-10-10,2616.12
2018-10-11,3745.49
2018-10-12,1578.37
2018-10-13,4075.13
2018-10-14,2183.18
2018-10-15,3025.13
2018-10-16,3176.53
2018-10-17,2214.2
2018-10-18,5163.69
2018-10-19,3787.74
2018-10-20,3078.78
2018-10-21,5696.93
2018-10-22,5541.9
2018-10-23,5950.35
2018-10-24,5593.27
2018-10-25,6090.35
2018-10-26,3770.73
2018-10-27,3852.27
2018-10-28,4487.07
2018-10-29,5792.26
2018-10-30,4139.86
2018-10-31,7079.35
2018-11-01,4785.8
2018-11-02,13994.31
2018-11-03,7763.47
2018-11-04,8338.13
2018-11-05,8986.75
2018-11-06,6485.28
2018-11-07,7319.68
2018-11-08,4127.07
2018-11-09,5568.57
2018-11-10,4589.71
2018-11-11,6073.56
2018-11-12,20708.59
2018-11-13,4902.44
2018-11-14,10520.11
2018-11-15,10857.82
2018-11-16,7091.25
2018-11-17,7483.16
2018-11-18,8621.34
2018-11-19,2979.3
2018-11-20,7609.93
2018-11-21,12178.77
2018-11-22,7531.58
2018-11-23,8653.44
2018-11-24,9638.61
2018-11-25,12499.99
2018-11-26,10773.53
2018-11-27,22984.56
2018-11-28,9216.26
2018-11-29,12147.61
2018-11-30,12646.44
