dia,vendas
2018-10-01,50
2018-10-02,48
2018-10-03,56
2018-10-04,50
2018-10-05,51
2018-10-06,18
2018-10-07,20
2018-10-08,50
2018-10-09,53
2018-10-10,56
2018-10-11,40
2018-10-12,15
2018-10-13,14
2018-10-14,17
2018-10-15,46
2018-10-16,52
2018-10-17,50
2018-10-18,52
2018-10-19,53
2018-10-20,15
2018-10-21,19
2018-10-22,52
2018-10-23,55
2018-10-24,56
2018-10-25,50
2018-10-26,51
2018-10-27,18
2018-10-28,20
2018-10-29,55
2018-10-30,49
2018-10-31,51
2018-11-01,56
2018-11-02,16
2018-11-03,14
2018-11-04,16
2018-11-05,53
2018-11-06,44
2018-11-07,58
2018-11-08,52
2018-11-09,52
2018-11-10,15
2018-11-11,21
2018-11-12,56
2018-11-13,50
2018-11-14,52
2018-11-15,57
2018-11-16,58
2018-11-17,16
2018-11-18,18
2018-11-19,55
2018-11-20,54
2018-11-21,50
2018-11-22,55
2018-11-23,53
2018-11-24,17
2018-11-25,20
2018-11-26,54
2018-11-27,60
2018-11-28,49
2018-11-29,50
2018-11-30,52
